_id,Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
42,Ontario Research Fund - Research Infrastructure,10154,Laboratory for the study of Radiation Induced Chemical Processes and Transport.,"To establish a laboratory for studies of the complex chemical processes occurring in ionization radiation environments that are relevant to nuclear reactor safety and nuclear materials integrity. These studies combining radiation with materials degradation, are challenging and performed by very few laboratories worldwide.",5,N/A,12800,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,The University of Western Ontario,London,"$295,035","$737,588","Nuclear energy, Chemical Kinetics, Radiation Induced Chemical Processes and Transport, Water Radiolysis, Redox Chemistry, Materials Degradation, Radioiodine Chemistry, Charcoal Filter Abatement, Full-system Modeling",Capital,"",Jungsook,"",Wren,Not Applicable
43,Ontario Research Fund - Research Infrastructure,10196,Mechanisms of Neurodegneration in Alzheimer's Disease and Neuronal Injury.,The ultimate goal of this research is early detection of neurogeneration and the development of strategies to promote the survival of injured neurons in order to improve the quality of life for patients. Project will focus on identifying the pathogenic mechanisms underlying Alzheimer's disease and understanding the regulation of injury-induced neuronal cell death.,4.1,N/A,41000,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,The University of Western Ontario,London,"$260,006","$650,016","Stroke, Gene expression, apoptosis, neuronal dysfunction, Alzheimer's disease, biochemistry, lysosome subcellular fractionation, cell biology",Capital,"",Sean,P.,Cregan,Advanced health technologies
44,Ontario Research Fund - Research Infrastructure,10816,Laboratory for Asymmetric Catalysis Research,"Chiral target molecules, which have a unique three-dimensional shape, are crucially important to the production of pharmaceuticals, agrochemicals, flavours and perfumes. In the pharmaceutical industry alone, this ""chiral market"" accounted for US$159 billion worldwide in 2002. Dr. Nathan D. Jones, at the University of Western Ontario, will use an ORF Research Infrastructure award to purchase state-of-the-art lab equipment for research into new catalysts that increase the productivity of these chiral molecules. Dr. Jones’ research could lead to more effective drugs and strengthen Ontario’s $1.8 billion pharmaceutical industry. (This project was taken over by PI Paul Ragogna from Nathan Jones who resigned form UWO - email from program area Shamien Nazareth Oct 6, 2010)",7.14,N/A,13000,99998,Small Infrastructure Fund - Round 005 - 2005 - October,2006-06-26T00:00:00,The University of Western Ontario,London,"$163,375","$408,441","reaction calorimetry, asymmetric catalysis, reaction mechanisms, chemical kinetics, homogeneous catalysis, organometallic chemistry, chemical synthesis, chirality",Capital,Dr.,Paul,"",Ragogna,Not Applicable
45,Ontario Research Fund - Research Infrastructure,10825,Simulation/Modeling Laboratory for High-Speed Electronic Circuits and MEMS,"All of today’s new electronic products, from home computers to satellites, are designed using electronic design automation (EDA) tools. With the rapid advances in technology comes a new challenge: EDA tools must offer the same efficiency and accuracy as the products they serve to design. Dr. Anestis Dounavis of the University of Western Ontario is addressing this problem by developing advanced modeling and simulation algorithms to cope with the design complexity of modern high-speed electronic circuits and micro-electromechanical systems (MEMS). An ORF Research Infrastructure award is funding a computer laboratory and various electromagnetic and MEMS software tools.  Dr. Dounavis’ research, which will result in more efficient EDA tools, will provide Ontario with a competitive advantage by reducing the design cycle, improve time-to-market costs, and decrease production costs of new electronic products.",7.6,N/A,11800,99998,Small Infrastructure Fund - Round 005 - 2005 - October,2006-06-26T00:00:00,The University of Western Ontario,London,"$131,133","$327,830","Signal Integrity, Interconnects, Microelectromechanical Systems (MEMS), Electromagnetic Interference Analysis, Electronic Design Automation, Circuit Simulation, VLSI, PEEC, Model Order Reduction, Sensitivity Analysis",Capital,"",Anestis,"",Dounavis,Digital media and information and communications technologies
46,Ontario Research Fund - Research Infrastructure,8634,The Polar Environment Atmospheric Research Laboratory (PEARL) at Eureka,"This project will create a unique facility worldwide for monitoring air, ozone and climate changes in the Arctic. The Arctic region has been dubbed the ""miners' canary"" of atmospheric change.",1.6,N/A,13800,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,University of Toronto,Toronto,"$815,590","$8,721,306","Arctic, climate change, atmosphere, remote sounding, rural",Capital,"",James,"",Drummond,Not Applicable
47,Ontario Research Fund - Research Infrastructure,202336,The Development of state-of-the-art Bio-Molecular and Tissue Culture Facilities to investigate the antibody response to pathogens,"Research will be directed at uncovering the mechanistic details of somatic hypemutation, and the role of this process in the development of lymphomas. This knowledge will be used to develop novel technologies for antibody-based therapeutics against pathogens and toxins.",4,N/A,15200,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$119,589","$303,465","B cell, antibody, somatic hypermutation, class switch recombination, lymphoma",Capital,"",Alberto,"",Martin,Advanced health technologies
48,Ontario Research Fund - Research Infrastructure,202371,"Infrastructure for recombinant protein expression, purification, structural and functional analysis",The research will study a novel class of cell signalling molecules that hold promise as important targets for the development of new therapeutic agents. The infrastructure will allow applicant to produce recombinant protein molecules that will be required for the detailed structural and functional studies that may lead to drugs that can alter signalling functions.,7.4.2,N/A,40900,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$105,000","$271,393","signal transduction, molecular pharmacology, guanylyl cyclases., structure-function, drug development",Capital,"",Soenke,"",Behrends,Pharmaceutical research and manufacturing
49,Ontario Research Fund - Research Infrastructure,202394,Youth and Urban School Performances,The program will focus on the capacity for arts/drama to increase the possibilities for collaboration among youth across social and academic divides and differences. This multi-context and international study will ask policy-relevant but pedagogically driven questions that reflect the complexities of urban school contexts.,8.1,N/A,21000,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$71,717","$179,300","Urban Education, Theatre/Drama and Youth Studies, Pedagogy and Social Cohesion, Multiculturalism and Educational Policy, Qualitative Research Methods",Capital,"",Kathleen,"",Gallagher,Not Applicable
50,Ontario Research Fund - Research Infrastructure,202448,Angiogenic and Lymphangiogenic Signaling,"Research geared towards the development of new therapies for numerous diseases including cancer, cardiovascular disease, and diabetes.  Study of angiogenic and lymphangiogenic signaling includes distinct approaches to study, including gene expression profiling, proteomics, transgenic and gene targeting in mice, and signal transduction.",4,N/A,14700,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,University of Toronto,Toronto,"$124,783","$311,958","angiogenesis, lymphangiogenesis, gene profiling, proteomics, transgenics",Capital,"",Daniel,"",Dumont,Advanced health technologies
51,Ontario Research Fund - Research Infrastructure,202449,BD-LSR-II flow cytometer,The research program aims at understanding the molecular controls that initiate and regulate the development of T cells which as the master regulators of the immune system protect us from infectious disease.,4,N/A,40700,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,University of Toronto,Toronto,"$653,088","$1,632,721","Development of the immune system, hematopoiesis, stem cells, lymphocyte development, immunodeficiences",Capital,"",Juan Carlos,"",Zúñiga-Pflücker,Advanced health technologies
